time,longitude,latitude,pr
1974-04-03,31.5,-25.0,3.7828124
1974-04-04,31.5,-25.0,0.059147816
1974-04-05,31.5,-25.0,1.018755
1974-04-06,31.5,-25.0,0.49525264
1974-04-07,31.5,-25.0,0.26395816
1974-04-08,31.5,-25.0,0.033546526
1974-04-09,31.5,-25.0,0.04149175
1974-04-10,31.5,-25.0,-8.3266734e-14
1974-04-11,31.5,-25.0,0.17744344
1974-04-12,31.5,-25.0,-8.3266734e-14
1974-04-13,31.5,-25.0,-8.3266734e-14
1974-04-14,31.5,-25.0,-8.3266734e-14
1974-04-15,31.5,-25.0,1.0063957
1974-04-16,31.5,-25.0,1.4601564
1974-04-17,31.5,-25.0,0.00529682
1974-04-18,31.5,-25.0,0.49966663
1974-04-19,31.5,-25.0,0.11653002
1974-04-20,31.5,-25.0,0.034429327
1974-04-21,31.5,-25.0,0.38755065
1974-04-22,31.5,-25.0,-8.3266734e-14
1974-04-23,31.5,-25.0,-8.3266734e-14
1974-04-24,31.5,-25.0,0.6470948
1974-04-25,31.5,-25.0,1.4071882
1974-04-26,31.5,-25.0,14.963516
1974-04-27,31.5,-25.0,0.22334921
1974-04-28,31.5,-25.0,0.08916313
1974-04-29,31.5,-25.0,0.0829835
1974-04-30,31.5,-25.0,-7.979728e-14
1974-05-01,31.5,-25.0,0.0
1974-05-02,31.5,-25.0,0.43335903
1974-05-03,31.5,-25.0,0.5039894
1974-05-04,31.5,-25.0,0.0
1974-05-05,31.5,-25.0,0.2932955
1974-05-06,31.5,-25.0,0.16999167
1974-05-07,31.5,-25.0,2.1476412
1974-05-08,31.5,-25.0,0.14365494
1974-05-09,31.5,-25.0,8.0075655
1974-05-10,31.5,-25.0,1.7070994
1974-05-11,31.5,-25.0,0.0
1974-05-12,31.5,-25.0,0.0
1974-05-13,31.5,-25.0,0.16161181
1974-05-14,31.5,-25.0,0.0
1974-05-15,31.5,-25.0,0.0
1974-05-16,31.5,-25.0,0.0
1974-05-17,31.5,-25.0,0.3758971
1974-05-18,31.5,-25.0,0.0
1974-05-19,31.5,-25.0,0.0
1974-05-20,31.5,-25.0,0.0
1974-05-21,31.5,-25.0,0.0
1974-05-22,31.5,-25.0,0.0035913736
1974-05-23,31.5,-25.0,0.13168369
1974-05-24,31.5,-25.0,0.0
1974-05-25,31.5,-25.0,0.0
1974-05-26,31.5,-25.0,0.0
1974-05-27,31.5,-25.0,0.0
1974-05-28,31.5,-25.0,0.0
1974-05-29,31.5,-25.0,0.0
1974-05-30,31.5,-25.0,0.0011971245
1974-05-31,31.5,-25.0,0.0
1974-06-01,31.5,-25.0,0.0
1974-06-02,31.5,-25.0,0.36450958
1974-06-03,31.5,-25.0,0.0
1974-06-04,31.5,-25.0,0.1987326
1974-06-05,31.5,-25.0,0.0
1974-06-06,31.5,-25.0,0.0
1974-06-07,31.5,-25.0,0.0
1974-06-08,31.5,-25.0,0.0
1974-06-09,31.5,-25.0,0.0
1974-06-10,31.5,-25.0,0.0009986563
1974-06-11,31.5,-25.0,0.0
1974-06-12,31.5,-25.0,0.0
1974-06-13,31.5,-25.0,0.0
1974-06-14,31.5,-25.0,0.0
1974-06-15,31.5,-25.0,0.0
1974-06-16,31.5,-25.0,0.0
1974-06-17,31.5,-25.0,0.0
1974-06-18,31.5,-25.0,0.0
1974-06-19,31.5,-25.0,0.0
1974-06-20,31.5,-25.0,0.0
1974-06-21,31.5,-25.0,0.0
1974-06-22,31.5,-25.0,0.0
1974-06-23,31.5,-25.0,0.0
1974-06-24,31.5,-25.0,0.0
1974-06-25,31.5,-25.0,0.19274068
1974-06-26,31.5,-25.0,0.01398119
1974-06-27,31.5,-25.0,0.0
1974-06-28,31.5,-25.0,0.0
1974-06-29,31.5,-25.0,0.0
1974-06-30,31.5,-25.0,0.0
1974-07-01,31.5,-25.0,6.2320786
1974-07-02,31.5,-25.0,18.821781
1974-07-03,31.5,-25.0,0.06841463
1974-07-04,31.5,-25.0,0.0
1974-07-05,31.5,-25.0,0.0
1974-07-06,31.5,-25.0,0.003526527
1974-07-07,31.5,-25.0,0.0
1974-07-08,31.5,-25.0,0.0
1974-07-09,31.5,-25.0,0.0
1974-07-10,31.5,-25.0,0.0
1974-07-11,31.5,-25.0,0.0
1974-07-12,31.5,-25.0,0.7398654
1974-07-13,31.5,-25.0,0.0
1974-07-14,31.5,-25.0,0.0
1974-07-15,31.5,-25.0,0.0
1974-07-16,31.5,-25.0,0.0
1974-07-17,31.5,-25.0,0.0077583594
1974-07-18,31.5,-25.0,0.025390994
1974-07-19,31.5,-25.0,0.0042318325
1974-07-20,31.5,-25.0,0.0
1974-07-21,31.5,-25.0,0.0
1974-07-22,31.5,-25.0,0.0
1974-07-23,31.5,-25.0,0.0
1974-07-24,31.5,-25.0,0.0
1974-07-25,31.5,-25.0,0.019043246
1974-07-26,31.5,-25.0,0.0
1974-07-27,31.5,-25.0,0.0
1974-07-28,31.5,-25.0,0.0
1974-07-29,31.5,-25.0,0.0
1974-07-30,31.5,-25.0,0.0
1974-07-31,31.5,-25.0,0.8818699
1974-08-01,31.5,-25.0,0.0020993557
1974-08-02,31.5,-25.0,0.0188942
1974-08-03,31.5,-25.0,1.6653347e-13
1974-08-04,31.5,-25.0,1.6653347e-13
